,classe,grid_name,year,area_ha
14605,25,NA-19-Y-D,2022,3.3075261901855484
14884,33,NA-19-Y-D,2022,8043.279366240826
15176,3,NA-19-Y-D,2023,876966.5349208714
15469,4,NA-19-Y-D,2023,0.4469625061035157
15699,11,NA-19-Y-D,2023,208.64278605346672
15979,12,NA-19-Y-D,2023,89.48276471557621
16263,15,NA-19-Y-D,2023,2683.567377075254
16782,25,NA-19-Y-D,2023,35.04190938720709
17064,33,NA-19-Y-D,2023,7981.891735729851
4,3,NA-19-Z-A,2016,1530780.2450031005
525,11,NA-19-Z-A,2016,2035.8528561221383
815,12,NA-19-Z-A,2016,1026.303770336363
1103,15,NA-19-Z-A,2016,166.46573581542958
1602,25,NA-19-Z-A,2016,13.22705057373046
1862,33,NA-19-Z-A,2016,7271.269093994204
2152,3,NA-19-Z-A,2017,1530812.6218870855
2673,11,NA-19-Z-A,2017,1881.577015593858
2963,12,NA-19-Z-A,2017,1029.340732710128
3251,15,NA-19-Z-A,2017,166.01902691040027
3750,25,NA-19-Z-A,2017,13.22705057373046
4011,33,NA-19-Z-A,2017,7388.96951478185
4302,3,NA-19-Z-A,2018,1530312.4925015138
4823,11,NA-19-Z-A,2018,2280.994999425098
5113,12,NA-19-Z-A,2018,1018.1725492609232
5402,15,NA-19-Z-A,2018,164.14301026000965
5900,25,NA-19-Z-A,2018,13.22705057373046
6161,33,NA-19-Z-A,2018,7504.959078624201
6452,3,NA-19-Z-A,2019,1530797.5188535373
6972,11,NA-19-Z-A,2019,1860.7923185402065
7263,12,NA-19-Z-A,2019,1023.0862221022178
7553,15,NA-19-Z-A,2019,192.472927593994
8055,25,NA-19-Z-A,2019,13.22705057373046
8316,33,NA-19-Z-A,2019,7408.232063143881
8606,3,NA-19-Z-A,2020,1530562.0615614066
9130,11,NA-19-Z-A,2020,1937.263453160448
9421,12,NA-19-Z-A,2020,1072.900308123085
9712,15,NA-19-Z-A,2020,334.3110972717284
10222,25,NA-19-Z-A,2020,13.763312005615225
10487,33,NA-19-Z-A,2020,7373.421264207974
10777,3,NA-19-Z-A,2021,1530148.019546946
11306,11,NA-19-Z-A,2021,2394.2807360441097
11598,12,NA-19-Z-A,2021,1070.5318853407432
11888,15,NA-19-Z-A,2021,451.6524796508787
12412,25,NA-19-Z-A,2021,13.763312005615225
12686,33,NA-19-Z-A,2021,7210.290514800308
12976,3,NA-19-Z-A,2022,1529381.6888089743
13503,11,NA-19-Z-A,2022,1771.527635542733
13793,12,NA-19-Z-A,2022,991.5742410074392
14082,15,NA-19-Z-A,2022,696.1727183044434
14606,25,NA-19-Z-A,2022,14.120811541748036
14885,33,NA-19-Z-A,2022,8442.032396988536
15177,3,NA-19-Z-A,2023,1529061.6862760144
15700,11,NA-19-Z-A,2023,1667.857984005053
15980,12,NA-19-Z-A,2023,747.6786428344708
16264,15,NA-19-Z-A,2023,837.1106685913085
16783,25,NA-19-Z-A,2023,27.08040432128906
17065,33,NA-19-Z-A,2023,8955.255783368051
5,3,NA-19-Z-B,2016,537432.3761938727
526,11,NA-19-Z-B,2016,898.5907011968407
816,12,NA-19-Z-B,2016,137.07505314941383
1104,15,NA-19-Z-B,2016,24.13130470581056
1603,25,NA-19-Z-B,2016,0.446893994140625
1863,33,NA-19-Z-B,2016,4873.051483265291
2153,3,NA-19-Z-B,2017,537466.637701859
2674,11,NA-19-Z-B,2017,840.0639599899488
2964,12,NA-19-Z-B,2017,137.61132037353494
3252,15,NA-19-Z-B,2017,23.505684912109388
4012,33,NA-19-Z-B,2017,4897.942341547029
4303,3,NA-19-Z-B,2018,537481.5607532354
4824,11,NA-19-Z-B,2018,852.2534726794688
5114,12,NA-19-Z-B,2018,139.13048460693335
5403,15,NA-19-Z-B,2018,24.13130470581056
5901,25,NA-19-Z-B,2018,0.446893994140625
6162,33,NA-19-Z-B,2018,4867.969963137816
6453,3,NA-19-Z-B,2019,537440.1365643954
6973,11,NA-19-Z-B,2019,885.6117436317373
7264,12,NA-19-Z-B,2019,141.00749685058568
7554,15,NA-19-Z-B,2019,35.214399768066414
8056,25,NA-19-Z-B,2019,0.446893994140625
8317,33,NA-19-Z-B,2019,4863.343910041226
8607,3,NA-19-Z-B,2020,537311.7300550321
9131,11,NA-19-Z-B,2020,936.5086068681774
9422,12,NA-19-Z-B,2020,142.34782807006812
9713,15,NA-19-Z-B,2020,140.84302086181637
10223,25,NA-19-Z-B,2020,0.446893994140625
10488,33,NA-19-Z-B,2020,4833.705846736859
10778,3,NA-19-Z-B,2021,537222.1374649445
11307,11,NA-19-Z-B,2021,951.7920390764288
